calBP,Australia_NewZealand._Melanesia,Eastern_Africa,Eastern_Asia,Eastern_Europe,Europe,Micronesia_and_Polynesia,Middle_and_Southern.Africa,Middle_North_America,Northern_Africa,Northern_North_America_and_Greenland,South_America,Western_Africa,Western_Asia
6840,3.638392949,0.152481192,4.769323323,23.24836478,118.4311939,NA,2.822007419,33.79588095,15.19321899,6.83870967,11.61479904,2.034505891,15.41197626
6810,3.678174461,0.185408413,5.16093197,24.94277919,118.4421443,NA,2.809806848,34.72924096,15.1505606,6.897619532,11.77685954,1.989228962,15.5583427
6780,3.70498986,0.213616594,5.621097292,28.2996623,119.6020443,NA,2.822754209,36.01609057,14.97089159,6.943903888,11.97803356,1.920497435,15.73386398
6750,3.723103762,0.235790561,6.022404736,32.05141884,121.8212859,NA,2.829440506,37.28308158,14.66199199,6.959040676,12.14135628,1.859353495,15.80057042
6720,3.727341235,0.237086347,6.363462043,37.83869771,126.2665414,NA,2.78348303,38.69685129,14.39635019,7.000132965,12.2356111,1.776426445,15.67226443
6690,3.709284912,0.22867277,6.671708613,42.80045101,130.8702545,NA,2.731141959,40.14840019,14.12628171,7.085632787,12.25781924,1.705057173,15.36740708
6660,3.676780406,0.209339663,6.920652461,47.09504922,134.9455005,NA,2.678318976,41.42892145,13.95630585,7.190360799,12.25216583,1.641690009,15.05902749
6630,3.621840605,0.178654134,7.11212892,50.63028984,138.5018644,NA,2.626882436,42.58986582,13.9045918,7.313716306,12.21871264,1.593787923,14.77066341
6600,3.540210844,0.151319456,7.219006028,51.69523823,141.0299725,NA,2.535957877,43.64615992,14.00927229,7.459868928,12.09229777,1.599514159,14.40281501
6570,3.440708716,0.124641718,7.299694669,52.12858027,143.3213776,NA,2.441036082,45.04016077,14.18739072,7.63207145,11.99073021,1.639494669,14.02684478
6540,3.300892962,0.102281435,7.400730372,51.04649661,144.6493622,NA,2.403093568,47.3935809,14.40236048,7.860771731,12.03115014,1.764178448,13.73493693
6510,3.171318192,0.093550647,7.608228243,48.66881894,144.5632549,NA,2.452336993,49.99973843,14.67364964,8.100526303,12.21598326,1.945154255,13.70803449
6480,3.077159521,0.096725155,7.909722255,47.1724462,144.8292701,NA,2.537646241,52.75159374,15.11460889,8.35761821,12.53274914,2.128395125,13.87523038
6450,3.040542932,0.134636803,8.485699212,45.61276287,146.3115182,NA,2.725320116,56.00630962,15.92287422,8.742165399,13.08383179,2.333470825,14.2007831
6420,3.031580942,0.170848647,8.971208426,44.59348457,147.3424723,NA,2.897910123,58.80671384,16.71439719,9.093292481,13.60286591,2.489388087,14.53105795
6390,3.058164468,0.218387615,9.509935267,43.9774991,149.4500769,NA,3.080342239,61.73292388,17.61263991,9.450275391,14.22781355,2.678179008,14.8863595
6360,3.19450584,0.282033507,10.43947821,43.0742032,156.5398768,NA,3.234306453,64.49332043,18.79562562,9.773550978,14.93020108,2.893368434,15.21040275
6330,3.410328951,0.350501,11.36507274,40.61827632,161.2102887,NA,3.300880731,64.96449469,19.44187473,10.01444678,15.11932102,2.960573377,15.14062974
6300,3.615852721,0.41383605,12.28392235,38.84911256,168.0010633,NA,3.414816519,65.53146326,20.18096596,10.20644498,15.40238584,2.999530468,15.16062451
6270,3.788180547,0.456165383,12.93691383,36.30028908,170.9619637,NA,3.382630327,64.91079701,20.25358348,10.28259023,15.28914526,3.016208173,14.84711288
6240,3.924926458,0.463709016,13.39106482,32.55487379,169.539675,NA,3.176311199,63.1870764,19.70193372,10.27868634,14.78122356,3.064836146,14.23933223
6210,4.060597163,0.476427551,13.86314135,29.02299665,168.692116,NA,2.98514411,61.51020533,19.1751632,10.26156982,14.31090844,3.115274725,13.63065745
6180,4.181409459,0.473844807,14.1402682,25.15434925,165.2891156,NA,2.76441593,59.41738247,18.46326583,10.25425348,13.66340226,3.092384841,13.03645113
6150,4.217061115,0.459767745,14.0644973,22.36965436,158.121539,NA,2.566887475,57.30317029,17.58656431,10.2435826,13.04161741,3.08416386,12.555195
6120,4.208539891,0.442319522,14.02310114,20.76492047,152.9878053,NA,2.42879988,55.94516117,17.00349698,10.21502265,12.68554412,3.125320884,12.25262032
6090,4.211891855,0.428658239,13.90589111,18.64528779,146.048487,NA,2.235893734,54.19324251,16.18010416,10.18175522,12.17878862,3.151300022,11.83636166
6060,4.306080944,0.437525408,13.90027936,17.67254303,147.8018613,NA,2.12770486,55.31731408,16.36529301,10.3245728,12.3617097,3.241310544,12.24830075
6030,4.416165087,0.459704099,13.88248749,17.40916568,152.2887375,NA,2.073370364,57.12625916,16.79863509,10.47887928,12.72776719,3.297266103,12.86431631
6000,4.551683014,0.488945971,13.95115659,17.0410279,158.9060297,NA,1.983618851,59.5913508,17.39065052,10.68788033,13.27581421,3.452430564,13.59186415
5970,4.585285933,0.505426709,14.11534589,17.21293558,166.5297179,NA,1.924956386,60.6764239,17.87745712,10.91280427,13.90044991,3.653111707,13.87897393
5940,4.548968025,0.51554666,14.25763184,17.09889339,175.0120556,NA,1.853133955,60.59790295,18.56049053,11.22908096,14.46088182,3.974585103,13.87676847
5910,4.492234143,0.523650705,14.41482825,16.84633932,184.2595037,NA,1.772070598,60.54978289,19.32127037,11.57697586,15.01066616,4.347862465,13.85725964
5880,4.469097956,0.526990476,14.57630016,16.85579843,191.2582672,NA,1.712131369,60.40055695,19.83087363,11.85132428,15.54670667,4.58855244,13.85364548
5850,4.369614948,0.508764091,14.74992213,17.10913437,193.7389694,NA,1.702931401,58.93704405,19.87664112,11.99044774,15.76750708,4.730216655,13.39751109
5820,4.198950124,0.4891878,14.95072462,17.24169081,198.679955,NA,1.692048115,56.95694985,20.12525874,12.1602551,15.95268776,5.002789361,12.77276576
5790,3.931956821,0.437801291,15.19438382,17.13792234,206.545644,NA,1.754140627,54.26858709,20.3231268,12.35969302,15.89945521,5.215966964,12.0992204
5760,3.765248867,0.403461924,15.44602651,17.16668877,217.2041097,NA,1.850661721,53.62929739,20.56153933,12.50194383,15.94227846,5.312502289,12.03242414
5730,3.672591077,0.381366332,15.88291307,17.43101504,232.690989,NA,2.016004781,54.391604,20.68404926,12.7051502,16.18560669,5.298190796,12.54482852
5700,3.592950169,0.370444185,16.49486655,17.78593531,255.3183521,NA,2.265271209,55.75006381,20.79541279,13.00942621,16.59333628,5.265665576,13.47219847
5670,3.487781462,0.366442195,17.82753447,18.28697059,287.422288,NA,2.574723122,57.54308842,21.27774129,13.55401202,17.03555681,5.338634484,14.91589444
5640,3.471290583,0.377178616,19.51938448,18.99713607,312.2289029,NA,2.743345531,59.11370429,21.55606144,13.85496718,17.41506494,5.268135015,16.45890718
5610,3.567932944,0.404570716,20.91051676,19.73833512,326.9748818,NA,2.826693604,60.69054308,21.42583268,13.95964986,17.75955965,5.010710689,17.90167338
5580,3.702515549,0.433899656,22.38060238,20.45384885,342.1997679,NA,2.912760434,62.60795331,21.50165849,14.08583725,18.14122254,4.825255758,19.49918782
5550,3.858073752,0.479982699,23.79770689,21.16227306,351.7305064,NA,2.943142003,64.23313832,21.37072602,14.16745326,18.40549988,4.60767836,20.88053297
5520,4.001805338,0.525037821,25.48592274,21.95529032,338.1861802,NA,2.796566056,65.12211166,20.66354851,14.15416571,18.32622759,4.305760833,21.06746058
5490,4.1009392,0.548971206,28.04159146,22.95568966,322.6463627,NA,2.695536359,66.8916603,19.89942291,14.28531489,18.34246859,3.978796192,21.08178473
5460,4.180758475,0.586307032,28.33270728,23.21626295,295.1378983,NA,2.437003419,66.05665664,18.86673594,13.97408309,18.03800847,3.727635291,20.07106288
5430,4.223896406,0.618939128,28.48803911,23.39093381,283.7820512,NA,2.353302208,65.83020896,18.35076369,13.96372215,17.8425056,3.631128034,19.66290012
5400,4.21999907,0.63081466,29.73615469,23.77920757,271.9237772,NA,2.311388772,66.48312448,17.79669936,14.11825526,17.73407527,3.509448458,19.16477208
5370,4.092826931,0.588572904,32.27478485,24.20666668,250.5514291,NA,2.192679206,67.41792124,16.80328781,14.50042051,17.5776849,3.320955902,18.09735899
5340,3.931674769,0.500132356,33.4636912,24.32510218,235.3146994,NA,2.135117382,67.9637422,15.99480395,14.96566874,17.52950117,3.295790635,17.16084685
5310,3.813534931,0.42195378,33.39376087,24.05746847,225.6964418,NA,2.034878654,67.40126216,15.51437179,15.24730005,17.39878069,3.386820434,16.53345698
5280,3.703039361,0.343843618,33.46254468,23.82834979,216.346724,NA,1.932803452,67.02356867,15.08096283,15.54842408,17.25772984,3.503096637,15.95771694
